issue_area,issue_category,issue_sub_category,issue_complexity,product_category,product_sub_category,customer_pain_points,solutions_proposed,followup_required,action_items,customer_satisfaction,satisfaction_level,customer_sentiment_summary,representative_tone,intent,conversation_summary
Order,Delayed delivery,Product not received,medium,Electronics,Headphone,Customer has not received the product even after the expected delivery date.,Representative suggested to check the tracking status of the order and assured to escalate the issue to the concerned team.,Yes,Representative to escalate the issue to the logistic team and follow-up with the customer with an update.,No,3,The customer is upset and frustrated due to the delayed delivery.,Empathetic and understanding,Complaint,The customer contacted regarding a delayed delivery of a headphone ordered. The product has not been received even after the expected delivery date. The representative suggested the customer to check the tracking status and assured that they will escalate the issue to the logistic team. The customer is upset and frustrated due to the delayed delivery.
Order,Delayed delivery,Product not received,medium,Electronics,Headphone,Customer has not received the product even after the expected delivery date.,Representative suggested to check the tracking status of the order and assured to escalate the issue to the concerned team.,Yes,Representative to escalate the issue to the logistic team and follow-up with the customer with an update.,No,3,The customer is upset and frustrated due to the delayed delivery.,Empathetic and understanding,Complaint,The customer contacted regarding a delayed delivery of a headphone ordered. The product has not been received even after the expected delivery date. The representative suggested the customer to check the tracking status and assured that they will escalate the issue to the logistic team. The customer is upset and frustrated due to the delayed delivery.
Order,Delayed delivery,Product not received,medium,Electronics,Headphone,Customer has not received the product even after the expected delivery date.,Representative suggested to check the tracking status of the order and assured to escalate the issue to the concerned team.,Yes,Representative to escalate the issue to the logistic team and follow-up with the customer with an update.,No,3,The customer is upset and frustrated due to the delayed delivery.,Empathetic and understanding,Complaint,The customer contacted regarding a delayed delivery of a headphone ordered. The product has not been received even after the expected delivery date. The representative suggested the customer to check the tracking status and assured that they will escalate the issue to the logistic team. The customer is upset and frustrated due to the delayed delivery.
Order,Delayed delivery,Product not received,medium,Electronics,Headphone,Customer has not received the product even after the expected delivery date.,Representative suggested to check the tracking status of the order and assured to escalate the issue to the concerned team.,Yes,Representative to escalate the issue to the logistic team and follow-up with the customer with an update.,No,3,The customer is upset and frustrated due to the delayed delivery.,Empathetic and understanding,Complaint,The customer contacted regarding a delayed delivery of a headphone ordered. The product has not been received even after the expected delivery date. The representative suggested the customer to check the tracking status and assured that they will escalate the issue to the logistic team. The customer is upset and frustrated due to the delayed delivery.
Order,Delayed delivery,Package not yet arrived,medium,Electronics,Headphone,Customer ordered a headphone but it has not been delivered yet even after the expected delivery date.,Representative apologized for the delay and assured to expedite the delivery. Also offered a small discount as a compensation for the inconvenience caused.,Yes,1. Check the status of the order with the logistics team. 2. Expedite the delivery if possible. 3. Apply the promised discount to the customer's account.,No,3,Customer is upset about the delayed delivery but somewhat satisfied with the representative's response and the compensation offered.,Apologetic and Helpful,Complaint,"The customer called to complain about the delayed delivery of a headphone they ordered. The representative apologized for the delay and offered to expedite the delivery. Also, a small discount was offered as compensation for the inconvenience caused. The customer was upset about the delay but somewhat satisfied with the response and the compensation. However, the customer's overall satisfaction level was low."
Order,Delayed delivery,Late shipment,medium,Electronics,Headphone,Customer is upset about the late delivery of his headphone order,Representative apologised for the inconvenience and assured to expedite the delivery process,Yes,Check with the shipping team and update the customer about the delivery status,No,3,The customer is unhappy and frustrated due to the delayed delivery,Polite and Apologetic,Complaint,"The customer called to complain about the late delivery of his headphone order. The representative apologised for the inconvenience and assured to expedite the delivery process. The representative also promised to check with the shipping team and update the customer about the delivery status. However, the customer was unhappy and frustrated due to the delay."
Order,Delayed delivery,Product not received,medium,Electronics,Headphone,Customer has not received the product even after the expected delivery date.,Representative suggested to check the tracking status of the order and assured to escalate the issue to the concerned team.,Yes,Representative to escalate the issue to the logistic team and follow-up with the customer with an update.,No,3,The customer is upset and frustrated due to the delayed delivery.,Empathetic and understanding,Complaint,The customer contacted regarding a delayed delivery of a headphone ordered. The product has not been received even after the expected delivery date. The representative suggested the customer to check the tracking status and assured that they will escalate the issue to the logistic team. The customer is upset and frustrated due to the delayed delivery.
Order,Delayed Delivery,Late shipment,medium,Electronics,Headphone,Customer is upset because the headphones he ordered have not been delivered on time.,The representative apologized for the delay and assured the customer that they will expedite the delivery. The representative also offered a discount on the next purchase as a compensation for the inconvenience caused.,Yes,Expedite the delivery of the customer's order and apply a discount on his account for the next purchase.,No,2,"The customer was initially very upset due to the delay in delivery. However, after the representative's assurance about expediting the delivery and compensation offer, the customer seemed to be slightly pacified.",Apologetic and Helpful,Complaint,"The customer called to complain about the delay in delivery of his headphone. He expressed his displeasure and disappointment. The representative apologized for the inconvenience caused and assured the customer that they will expedite the delivery. The representative also offered a discount on the next purchase as compensation for the inconvenience caused. The customer was slightly pacified by this, but overall he is still not fully satisfied with the service."
Order,Delayed delivery,Product not received,medium,Electronics,Headphone,Customer has not received the product even after the expected delivery date.,Representative suggested to check the tracking status of the order and assured to escalate the issue to the concerned team.,Yes,Representative to escalate the issue to the logistic team and follow-up with the customer with an update.,No,3,The customer is upset and frustrated due to the delayed delivery.,Empathetic and understanding,Complaint,The customer contacted regarding a delayed delivery of a headphone ordered. The product has not been received even after the expected delivery date. The representative suggested the customer to check the tracking status and assured that they will escalate the issue to the logistic team. The customer is upset and frustrated due to the delayed delivery.
Order,Delay in delivery,Late delivery,medium,Electronics,Headphone,Customer is upset about the delayed delivery of the headphone.,Offered to track the order and provide regular updates.,Yes,Track the order and keep the customer updated on the delivery status.,No,3,The customer is upset and dissatisfied due to the delay in delivery.,Apologetic and assuring,Complaint,"The customer called to complain about the late delivery of the headphone that he ordered. He seemed very upset and dissatisfied with the service. The customer service representative apologized for the inconvenience and assured him that they will track his order and keep him updated. Despite this, the customer's satisfaction level remained low."
